,cnLibCat,ecoCat
0,TN915.08,电信
1,TP393.4,电信
2,TN915.08,电信
3,TP393.4,电信
4,TP393.4,电信
5,TP393.098,电信
6,TP393.4,电信
7,TN915,电信
8,TP393.4,电信
9,TN914,电信
10,TN915,电信
11,TP393.4,电信
12,"[TP393.4, TN4]",电信
13,TP393.4,电信
14,TN914,电信
15,TN915.08,电信
16,TN915.08,电信
17,TN915.08,电信
18,TN914,电信
19,TP393.4,电信
20,TP393.08,电信
21,TP393.4,电信
22,TP393.4,电信
23,TN915.853,电信
24,TP393.4,电信
25,TN915.08,电信
26,TN915,电信
27,TN915.02,电信
28,TN915,电信
29,TP393.4,电信
30,TN915.06,电信
31,TN915.04,电信
32,TN914,电信
33,TN915.08,电信
34,TN915,电信
35,TN915,电信
36,TN915.08,电信
37,TN915,电信
38,TP393.4,电信
39,TN915,电信
40,TP393.4,电信
41,TN915.08,电信
42,TN915.08,电信
43,TN915.08,电信
44,TN915,电信
45,TP393.4,电信
46,TN915,电信
47,TP393.4,电信
48,TN915.08,电信
49,TP393.4,电信
50,TN915,电信
51,TN915.08,电信
52,TN915,电信
53,TN915,电信
54,TN915.08,电信
55,TN915.08,电信
56,TP393.4,电信
57,TN918,电信
58,TN915.08,电信
59,TN915.04,电信
60,TN918,电信
61,TP393.4,电信
62,TN915.08,电信
63,TN915.08,电信
64,TN914,电信
65,TN915,电信
66,TN915.08,电信
67,TN915,电信
68,TP393.4,电信
69,TN915.07,电信
70,TN915.9,电信
71,TP393.07,电信
72,TP393.08,电信
73,TN915.08,电信
74,TN915.02,电信
75,TN92,电信
76,TP393.4,电信
77,TP393.4,电信
78,TP393.02,电信
79,"[TN929.53, TN918.91]",电信
80,TN915.04,电信
81,TN915.08,电信
82,TP393.4,电信
83,"[TN929.5, U492.44]",电信
84,TN915,电信
85,TN929.532,电信
86,TP393.4,电信
87,TN92,电信
88,TN919.8,电信
89,TN914,电信
90,TP274.2,电信
91,TN918,电信
92,"[TN919.2, TN929.5]",电信
93,TN925.3,电信
94,TP393.4,电信
95,TN929.532,电信
96,"[TN919.5, TN915.5]",电信
97,"[TN929.5, F830.46, F724.6]",电信
98,TP393.11,电信
99,TP393.2,电信
100,"[TN919.2, TN929.5]",电信
101,"[TN919.5, TN915.5]",电信
102,TN925.3,电信
103,TP393.4,电信
104,TP393.4,电信
105,TP393.4,电信
106,TP393.02,电信
107,TN919.3,电信
108,TP393,电信
109,TN918,电信
110,TP393.03,电信
111,TP393.4,电信
112,TN914,电信
113,TP393.4,电信
114,TP393.4,电信
115,TP393.1,电信
116,"[TP274.2, TN929.5]",电信
117,"[TN929.53, TN918.91]",电信
118,TP393.4,电信
119,TN915.02,电信
120,TP393.4,电信
121,TP393.4,电信
122,TP393.4,电信
123,TP393.1,电信
124,"[TN919.85, TN929.5]",电信
125,TN915,电信
126,TM862,电信
127,TN92,电信
128,TP393.4,电信
129,TP393.4,电信
130,TN915.07,电信
131,TP393.4,电信
132,TN915.853,电信
133,"[TP393.1, TU899]",电信
134,U622,电信
135,TP393.07,电信
136,TP393.4,电信
137,TN915,电信
138,TP393.09,电信
139,TN925,电信
140,TP393.4,电信
141,TP393.2,电信
142,TN915,电信
143,TN92,电信
144,"[TN913.6, TN915.853]",电信
145,TN929.5,电信
146,TN92,电信
147,"[TN929.11, TN929.5]",电信
148,TP393.4,电信
149,TN919.85,电信
150,TP393.09,电信
151,TN92,电信
152,"[TN929.5, TN919.5]",电信
153,TN92,电信
154,TN925.3,电信
155,TN915.04,电信
156,"[TN929.5, TN915.07]",电信
157,TP393.11,电信
158,TN919.5,电信
159,TP393.4,电信
160,"[TN915, TS272]",电信
161,"[TP393.07, F830.46]",电信
162,TP393,电信
163,"[TN912.3, TN916.82]",电信
164,"[TN929.5, TN925.93]",电信
165,"[TN919.2, TN918.2]",电信
166,TP393,电信
167,TN915.04,电信
168,TP393.4,电信
169,"[TN929.11, TN918.65]",电信
170,TP393.09,电信
171,TN915.04,电信
172,TN915,电信
173,TN919.3,电信
174,TN915,电信
175,TN92,电信
176,TP393.01,电信
177,TN915,电信
178,TN915,电信
179,"[TN929.5, TP391.43]",电信
180,"[TP391.41, TP393.02]",电信
181,TN914,电信
182,TP393.4,电信
183,TP393.09,电信
184,TN92,电信
185,TN915,电信
186,"[TN929.5, TN925.93]",电信
187,TN929.5,电信
188,TN929.5,电信
189,TP393.092,电信
190,TN929.11,电信
191,TP301.6,电信
192,TP393.09,电信
193,TN914,电信
194,TN915,电信
195,TP393.4,电信
196,TN915.05,电信
197,TP393.4,电信
198,TP393.4,电信
199,TN915.02,电信
200,TP393.4,电信
201,TN915,电信
202,TP393.4,电信
203,"[TP212.9, TN929.5]",电信
204,TP393.4,电信
205,TP393.4,电信
206,"[TN915.05, TN919.72]","[通信设备制造, 电信]"
207,TP393.11,"[工程和技术研究与试验发展, 电信]"
208,"[S641.2, S626.9, S126]","[蔬菜、园艺作物的种植, 电信]"
209,"[TP393.09, TU998.4]","[电信, 国家行政机构]"
210,"[TN916.33, TN916.34, TN918.66]","[通信设备制造, 电信]"
211,"[TN912.34, TN914.41]","[工程和技术研究与试验发展, 电信]"
212,TP393.07,电信
213,TN92,电信
214,TN915,电信
215,"[TN916.82, TN919.5, TP301.6]",电信
216,TN914,电信
217,TP393.08,电信
218,TN919.31,电信
219,TN927.23,电信
220,TN929.5,电信
221,TN929.11,电信
222,"[TN929.5, TN915.5]",电信
223,TN915,电信
224,TN915,电信
225,TN914,电信
226,TP273,电信
227,TN929.53,电信
228,TN92,电信
229,TN929.11,电信
230,TP393.07,电信
231,TN929.5,电信
232,TN915,电信
233,"[TN876.32, TN915.07, TN929.5]",电信
234,TN915,电信
235,TP393.07,电信
236,TN929.5,电信
237,"[TN915.02, TN929.5]",电信
238,TN926.2,电信
239,C916,电信
240,"[TN915.02, TN929.5]",电信
241,TP391.41,电信
242,TN915.6,电信
243,TN929.1,电信
244,TN915.6,电信
245,TN915,电信
246,TP393.09,电信
247,TN915,电信
248,TP393.02,电信
249,TN92,电信
250,TN929.5,电信
251,TP393.06,电信
252,"[TN919.72, T-652.1]",电信
253,"[TP393.08, TP393.06]",电信
254,"[TN915.04, T-652.1]",电信
255,"[TN929.5, T-652.4]",电信
256,"[TN915.02, TP393.18]",电信
257,"[TN929.5, TN919.1]",电信
258,"[TN915.07, TN919.8]",电信
259,TN915.07,电信
260,TN929.53,电信
261,"[TN915.04, TN915.08]",电信
262,TP393.02,电信
263,TN915.6,电信
264,"[TN929.5, T-652.1]",电信
265,F627,电信
266,"[TN929.5, T-652.4]",电信
267,TN915,"[电信, 公共软件服务]"
268,TP368.5,"[工程和技术研究与试验发展, 电信]"
269,"[S959, TN915.1]","[渔业服务业, 电信]"
270,"[TM732, TN915.853]","[电力供应, 电信]"
271,"[TP393.11, TP319]","[公共软件服务, 电信]"
272,TP273,"[工程和技术研究与试验发展, 电信]"
273,TP393.4,"[工程和技术研究与试验发展, 电信]"
274,"[TP393.11, TP319]","[电信, 公共软件服务]"
275,"[TP393.11, TP319]","[电信, 公共软件服务]"
276,TP319,"[公共软件服务, 电信]"
277,"[TP393.11, TP319]","[公共软件服务, 电信]"
278,TP393.4,"[电信, 公共软件服务]"
279,TP393.4,"[工程和技术研究与试验发展, 电信]"
280,TP319,"[公共软件服务, 电信]"
281,"[TN873.93, TN929.53]","[通信设备制造, 电信]"
282,TP316,"[公共软件服务, 电信]"
283,TP393.4,"[工程和技术研究与试验发展, 电信]"
284,"[TP393.092, TN929.533]","[互联网信息服务, 电信]"
285,TN87,"[电信, 电子计算机制造]"
286,TP393.02,"[电信, 通信设备制造]"
287,F626.5,"[公共软件服务, 电信]"
288,TP393.4,"[公共软件服务, 电信]"
289,"[TP393.11, TP319]","[公共软件服务, 电信]"
290,"[TP393.11, TP319]","[电信, 公共软件服务]"
291,"[R197.324, TP393.4]","[医院, 电信]"
292,TN915.142,"[工程和技术研究与试验发展, 电信]"
293,TN915,"[公共软件服务, 电信]"
294,"[TN919.85, TN948.3]","[电信, 广播电视设备制造]"
295,"[TP393.11, TP319]","[电信, 公共软件服务]"
296,"[TP393.11, TP319]","[电信, 公共软件服务]"
297,TN915,"[工程和技术研究与试验发展, 电信]"
298,"[TN915.05, TN929.5]","[通信设备制造, 电信]"
299,"[TP393.11, TP319]","[公共软件服务, 电信]"
300,F626,"[公共软件服务, 电信]"
301,TN915.142,"[工程和技术研究与试验发展, 电信]"
302,"[R197.324, TP393.4]","[医院, 电信]"
303,TN915,"[公共软件服务, 电信]"
304,"[TP393.11, TP319]","[电信, 公共软件服务]"
305,"[TN919.85, TN948.3]","[电信, 广播电视设备制造]"
306,TP393.4,"[工程和技术研究与试验发展, 电信]"
307,TN912.3,"[工程和技术研究与试验发展, 电信]"
308,TD76,"[公共软件服务, 电信]"
309,TN915,"[工程和技术研究与试验发展, 电信]"
310,TP37,"[公共软件服务, 电信]"
311,TP333,"[公共软件服务, 电信]"
312,TP393.4,"[电信, 公共软件服务]"
313,"[TM734, TN915.853]","[电力供应, 电信]"
314,"[TP393.11, TP319]","[电信, 公共软件服务]"
315,"[TN929.53, TN915.05]","[电信, 通信设备制造]"
316,"[TN929.5, TN919.5]","[工程和技术研究与试验发展, 电信]"
317,TN915,"[工程和技术研究与试验发展, 电信]"
318,TP393.11,"[工程和技术研究与试验发展, 电信]"
319,TN915.07,电信
320,"[TN929.5, TN923]",电信
321,TN915.07,电信
322,TP393.4,电信
323,"[TN925.93, TN929.5]",电信
324,"[TN925.93, TN915.06]",电信
325,TN872,电信
326,TP393.18,电信
327,TN929.5,电信
328,TN925.93,电信
329,"[TN925.93, TN915.06]",电信
330,TP37,电信
331,"[F253.9, TN915]",电信
332,"[TN915.02, TN915.07]",电信
333,TN915.6,电信
334,TN915.07,电信
335,TN916.82,电信
336,"[TN948, TN929.53]",电信
337,TN919.8,电信
338,F623,电信
339,TN915.08,电信
340,TP393.4,电信
341,TN929.5,电信
342,"[TP393.02, TP393.06]",电信
343,TN929.5,电信
344,"[TN923, TN929.5]",电信
345,TN915,电信
346,"[TN929.5, TN915.5]",电信
347,TN929.53,电信
348,TN911.73,电信
349,TN912.3,电信
350,"[TP334.23, TN87]",电信
351,"[TN929.53, T-652.4]","[电信, 通信设备制造]"
352,"[TN915.05, T-652.4]","[电信, 通信设备制造]"
353,TN92,"[公共软件服务, 电信]"
354,TN929.5,"[工程和技术研究与试验发展, 电信]"
355,TN915,"[工程和技术研究与试验发展, 电信]"
356,TN915.6,"[通信设备制造, 电信]"
357,TN929.52,"[通信设备制造, 电信]"
358,TN929.5,"[公共软件服务, 电信]"
359,"[TN915.04, T-652.4]","[通信设备制造, 电信]"
360,TN915.6,"[工程和技术研究与试验发展, 电信]"
361,"[TN919.85, TN948.3, TP393.03]","[电信, 公共软件服务]"
362,"[TN929.5, TP393.1, TP393.07]","[公共软件服务, 电信]"
363,TN929.5,"[工程和技术研究与试验发展, 电信]"
364,U231.7,"[电信, 通信设备制造]"
365,TP392,"[公共软件服务, 电信]"
366,"[TN915, T-652.4]","[工程和技术研究与试验发展, 电信]"
367,TP393.4,"[电信, 公共软件服务]"
368,TN929.5,"[工程和技术研究与试验发展, 电信]"
369,"[TN915, T-652.1]","[工程和技术研究与试验发展, 电信]"
370,TN915,"[电信, 通信设备制造]"
371,TN87,"[公共软件服务, 电信]"
372,TN915.08,"[通信设备制造, 电信]"
373,TN948.63,"[通信设备制造, 电信]"
374,"[TN919.2, T-652.4]","[电信, 通信设备制造]"
375,TN929.5,"[工程和技术研究与试验发展, 电信]"
376,TN918.2,"[公共软件服务, 电信]"
377,TN929.5,"[公共软件服务, 电信]"
378,"[TN929.5, TN919.2, TN916.82]","[公共软件服务, 电信]"
379,TN929.5,"[工程和技术研究与试验发展, 电信]"
380,TN915.08,"[工程和技术研究与试验发展, 电信]"
381,TN929.5,"[公共软件服务, 电信]"
382,TN915,"[工程和技术研究与试验发展, 电信]"
383,TP393.4,"[工程和技术研究与试验发展, 电信]"
384,TP393.4,"[公共软件服务, 电信]"
385,TN929.5,"[公共软件服务, 电信]"
386,"[TN929.11, T-652.1]","[工程和技术研究与试验发展, 电信]"
387,TP393.4,"[公共软件服务, 电信]"
388,TP319,"[公共软件服务, 电信]"
389,TN915,"[工程和技术研究与试验发展, 电信]"
390,"[TN929.5, TP393.1]","[工程和技术研究与试验发展, 电信]"
391,TN941.3,"[公共软件服务, 电信]"
392,TN929.5,"[通信设备制造, 电信]"
393,TN92,"[公共软件服务, 电信]"
394,"[TN915.05, TN929.5, TN943.2]","[广播电视设备制造, 电信]"
395,"[TN929.5, T-652.4]","[电信, 广播电视传输服务]"
396,TN915,"[工程和技术研究与试验发展, 电信]"
397,"[TN915.05, T-652.1]","[工程和技术研究与试验发展, 电信]"
398,TN929.5,"[工程和技术研究与试验发展, 电信]"
399,TN915.6,"[电信, 通信设备制造]"
400,TN915.6,电信
401,TN915.6,电信
402,"[TN925.3, TK018]",电信
403,"[F626, TN915.02]",电信
404,"[F626.115, F626.5]",电信
405,"[TN919.2, TN918.91]",电信
406,F623,电信
407,TN929.11,电信
408,"[TN915.07, TN929.5]",电信
409,F713.36,电信
410,TN914,电信
411,"[TN916.2, TN929.5, F626]",电信
412,TN915.6,电信
413,TN929.53,电信
414,F626.6,电信
415,"[TN929.5, TN915.07]",电信
416,TN929.53,电信
417,"[TN915.02, TN929.52]",电信
418,"[TN929.533, TN915.02]",电信
419,F626.5,电信
420,TN915.07,电信
421,TN929.5,电信
422,TP37,电信
423,"[TN929.11, TN915.63]",电信
424,"[TN911.73, TN915.07, F626.5]",电信
425,TN929.5,电信
426,"[TN929.5, TN876.32]",电信
427,"[TN929.5, TN915.07]",电信
428,"[TN915.05, TN915.6]",电信
429,"[TN915.853, TN914.33, TN929.11]",电信
430,TP37,电信
431,F626,电信
432,F626,电信
433,TN929.5,电信
434,TN949.27,电信
435,TN929.5,电信
436,F626,电信
437,"[TN915.5, TN929.53]",电信
438,"[TN916.2, T-652.2]",电信
439,F626,电信
440,TN929.53,电信
441,F626,电信
442,"[TN916.2, T-652.2]",电信
443,"[TN929.53, TN911.5]",电信
444,"[TN915.5, TN929.53]",电信
445,TP393.098,电信
446,TN929.54,电信
447,"[TN915.05, T-651]",电信
448,F626.5,电信
449,F626,电信
450,F626,电信
451,TN949.27,电信
452,TN929.5,电信
453,F626,电信
454,TN929.5,电信
455,"[TN915.6, T-652.4]",电信
456,"[F626, TP319]",电信
457,TN915.5,电信
458,"[TN915, T-651]",电信
459,"[TN915.06, T-652.4]",电信
460,"[TN915, T-651]",电信
461,"[TN915.06, T-652.4]",电信
462,"[F626, TP319]",电信
463,TN915.5,电信
464,F626.5,电信
465,"[TN911.21, T-652.4]",电信
466,F626,电信
467,TN929.1,电信
468,"[TN929.5, TN915.07]",电信
469,TN914,电信
470,TN929.5,"[电信, 通信设备制造]"
471,TN915.07,"[公共软件服务, 电信]"
472,TN919.3,"[电信, 通信设备制造]"
473,TN915.06,"[公共软件服务, 电信]"
474,TN929.11,"[电线、电缆、光缆及电工器材制造, 电信]"
475,TN915,"[工程和技术研究与试验发展, 电信]"
476,TN929.53,"[工程和技术研究与试验发展, 电信]"
477,TP393.11,"[电信, 互联网信息服务]"
478,TN915,"[工程和技术研究与试验发展, 电信]"
479,TN929.5,"[工程和技术研究与试验发展, 电信]"
480,TN929.53,"[工程和技术研究与试验发展, 电信]"
481,TN912.3,"[工程和技术研究与试验发展, 电信]"
482,TN929.5,"[工程和技术研究与试验发展, 电信]"
483,TN915,"[公共软件服务, 电信]"
484,TN929.5,"[电信, 通信设备制造]"
485,"[TP393.07, TP393.4]","[公共软件服务, 电信]"
486,TN934.2,"[电信, 广播电视传输服务]"
487,"[TP37, TP315]","[公共软件服务, 电信]"
488,TN915.6,"[通信设备制造, 电信]"
489,TP316,"[公共软件服务, 电信]"
490,TN915.08,"[公共软件服务, 电信]"
491,TN762,"[工程和技术研究与试验发展, 电信]"
492,"[TN929.533, TN919.85]","[公共软件服务, 电信]"
493,TN915.04,"[工程和技术研究与试验发展, 电信]"
494,"[TD655, TN929.5]","[公共软件服务, 电信]"
495,TN929.5,"[公共软件服务, 电信]"
496,"[TN919.6, F623]","[公共软件服务, 电信]"
497,TN941.3,"[电视, 电信]"
498,TN919.2,"[电子计算机制造, 电信]"
499,"[TN925.93, TN915.07]","[工程和技术研究与试验发展, 电信]"
500,TN762,"[工程和技术研究与试验发展, 电信]"
501,TP316,"[公共软件服务, 电信]"
502,TN915,"[公共软件服务, 电信]"
503,TN915.6,"[通信设备制造, 电信]"
504,"[TN915.02, TP393.03]","[工程和技术研究与试验发展, 电信]"
505,TN919.3,"[公共软件服务, 电信]"
506,TP319,"[公共软件服务, 电信]"
507,TN919.3,"[新闻业, 电信]"
508,TN915.07,"[电子计算机制造, 电信]"
509,TN929.5,"[电信, 通信设备制造]"
510,TN915,"[公共软件服务, 电信]"
511,TN929.53,"[工程和技术研究与试验发展, 电信]"
512,TP393.11,"[电信, 互联网信息服务]"
513,TN929.5,"[公共软件服务, 电信]"
514,TN929.5,"[电信, 公共软件服务]"
515,"[TP393.03, TN915.04]","[公共软件服务, 电信]"
516,TN929.5,"[工程和技术研究与试验发展, 电信]"
517,TN915.07,"[公共软件服务, 电信]"
518,TN915,"[工程和技术研究与试验发展, 电信]"
519,TN912.3,"[工程和技术研究与试验发展, 电信]"
520,TN919.3,"[电信, 通信设备制造]"
521,TN929.53,"[工程和技术研究与试验发展, 电信]"
522,TN915.06,"[公共软件服务, 电信]"
523,TN915.02,"[工程和技术研究与试验发展, 电信]"
524,TP393.02,"[电信, 公共软件服务]"
525,"[TN915.08, TN929.5]","[公共软件服务, 电信]"
526,TN929.5,"[电信, 公共软件服务]"
527,TN929.5,"[工程和技术研究与试验发展, 电信]"
528,"[TN929.53, TN919.85]","[公共软件服务, 电信]"
529,"[TP317.1, TN929.5]","[公共软件服务, 电信]"
530,TN915.5,"[工程和技术研究与试验发展, 电信]"
531,"[TN941.3, TN943.6]","[电信, 广播电视传输服务]"
532,"[TP319, TN941.3]","[公共软件服务, 电信]"
533,TN915.05,"[电信, 通信设备制造]"
534,TN941.3,"[电视, 电信]"
535,TN915,"[通信设备制造, 电信]"
536,R197.323,"[公共软件服务, 电信]"
537,"[TN929.5, T-652.1]",电信
538,TN919.85,电信
539,TN925.93,电信
540,TN915.07,电信
541,TN929.5,电信
542,"[TN925.93, TN915.04]",电信
543,TN929.5,电信
544,TN919.85,电信
545,TN915,电信
546,TN929.5,电信
547,"[TN929.5, T-652.1]",电信
548,TN949.292,电信
549,TN916.2,电信
550,TN915.04,电信
551,TN918,电信
552,TN929.533,电信
553,TN915,电信
554,TN929.5,电信
555,TN919.85,电信
556,TN915.07,电信
557,TN929.5,电信
558,TN949.292,电信
559,TN915.6,电信
560,G434,电信
561,TN929.11,电信
562,TP311.5,"[公共软件服务, 电信]"
563,"[TN929.5, TN919.5]","[工程和技术研究与试验发展, 电信]"
564,TN929.53,"[通信设备制造, 电信]"
565,"[TN929.53, TN915.02]","[工程和技术研究与试验发展, 电信]"
566,TN929.53,"[公共软件服务, 电信]"
567,"[TN915.04, TN915.07, TP393.03]","[电信, 公共软件服务]"
568,TP393.4,"[电信, 公共软件服务]"
569,TN929.5,"[电信, 公共软件服务]"
570,"[TN76, TN929.53]","[工程和技术研究与试验发展, 电信]"
571,TN929.53,"[公共软件服务, 电信]"
572,TN929.53,"[通信设备制造, 电信]"
573,"[TP319, TN925.3, TN929.5]","[公共软件服务, 电信]"
574,"[TP315, TN915.07, F626]","[工程和技术研究与试验发展, 电信]"
575,"[TP391.78, S126]","[电信, 农业服务业]"
576,"[TN929.5, D631.43]","[公共软件服务, 电信]"
577,TN915,"[工程和技术研究与试验发展, 电信]"
578,TP393.07,"[公共软件服务, 电信]"
579,TP319,"[公共软件服务, 电信]"
580,"[TN929.53, TN915.02]","[工程和技术研究与试验发展, 电信]"
581,F626.5,"[公共软件服务, 电信]"
582,"[TP319, F713.36]","[公共软件服务, 电信]"
583,TP319,"[公共软件服务, 电信]"
584,TP392,"[公共软件服务, 电信]"
585,TN929.53,"[通信设备制造, 电信]"
586,"[TN929.5, TN919.5]","[工程和技术研究与试验发展, 电信]"
587,"[TN929.5, TN919.85]","[公共软件服务, 电信]"
588,"[TP929.5, TN915]","[公共软件服务, 电信]"
589,TN915.07,"[公共软件服务, 电信]"
590,TN915.6,"[电信, 公共软件服务]"
591,"[TM63, TM73, TN929.11]","[通信设备制造, 电信]"
592,TP311.52,"[公共软件服务, 电信]"
593,TN915.07,"[工程和技术研究与试验发展, 电信]"
594,TN915.08,"[电信, 广播电视设备制造]"
595,TN925,"[公共软件服务, 电信]"
596,TP393.07,"[公共软件服务, 电信]"
597,TN915,"[社会人文科学研究与试验发展, 电信]"
